# Please review http://www.world-strain-map.org/model/rotated_geodetic.html before using!
#
 -174.210  52.220   44.752  -53.165  1.198  1.803  0.000   Pacific       
 -147.500  64.980   12.388  -50.306  1.000  1.000  0.000   Pacific       
   32.180  40.790   66.786   41.307  1.000  1.000  0.000   Pacific       
   32.150  40.800   67.862   42.102  1.000  1.000  0.000   Pacific       
   32.100  40.770   65.276   42.203  1.000  1.000  0.000   Pacific       
   32.100  40.650   62.524   39.604  1.000  1.000  0.000   Pacific       
   32.060  40.980   75.696   44.005  1.000  1.000  0.000   Pacific       
   32.050  40.800   70.013   41.902  1.000  1.000  0.000   Pacific       
   31.810  39.560   60.008   39.998  1.000  1.497  0.000   Pacific       
   31.690  40.880   73.748   42.893  1.000  1.000  0.000   Pacific       
   31.680  40.830   72.804   43.192  1.497  2.000  0.000   Pacific       
   31.520  40.660   64.637   41.187  1.000  1.000  0.000   Pacific       
   31.240  40.520   61.080   39.178  1.000  1.000  0.000   Pacific       
   31.050  40.550   63.656   41.573  1.000  1.000  0.000   Pacific       
   31.020  40.570   65.217   43.171  2.497  3.498  0.000   Pacific       
   31.020  40.570   63.815   41.069  1.000  1.000  0.000   Pacific       
   31.020  40.580   65.708   39.068  1.000  1.000  0.000   Pacific       
   31.010  40.580   65.900   39.870  1.497  1.497  0.000   Pacific       
   31.000  40.570   64.507   39.768  1.000  1.000  0.000   Pacific       
   30.960  40.600   67.050   41.270  1.000  1.000  0.000   Pacific       
   30.870  40.580   64.536   39.368  1.000  1.497  0.000   Pacific       
   30.710  40.830   74.250   42.159  1.000  1.000  0.000   Pacific       
   30.670  40.570   62.958   41.660  1.000  1.000  0.000   Pacific       
   30.630  40.650   66.937   40.856  1.000  1.000  0.000   Pacific       
   30.520  40.350   62.058   37.449  1.000  1.000  0.000   Pacific       
   30.320  40.610   61.644   41.543  1.000  1.000  0.000   Pacific       
   30.300  40.780   69.522   44.441  1.000  1.000  0.000   Pacific       
   30.020  40.440   59.314   40.331  1.000  1.000  0.000   Pacific       
   29.780  38.730   58.286   36.318  1.000  1.000  0.000   Pacific       
   29.420  39.040   57.255   36.095  1.000  1.000  0.000   Pacific       
   29.250  39.330   57.024   38.289  1.000  1.000  0.000   Pacific       
   29.040  39.150   57.053   36.977  1.000  1.000  0.000   Pacific       
   28.960  39.420   55.184   37.170  1.000  1.000  0.000   Pacific       
   28.910  38.760   56.664   34.867  1.000  1.000  0.000   Pacific       
   28.860  38.020   58.726   31.665  1.000  1.000  0.000   Pacific       
   28.630  39.610   57.605   37.448  1.000  1.000  0.000   Pacific       
   28.420  38.730   56.680   33.834  1.000  1.000  0.000   Pacific       
   28.280  38.970   56.128   34.321  1.000  1.000  0.000   Pacific       
   28.240  38.030   60.947   30.923  1.000  1.000  0.000   Pacific       
   28.140  39.230   56.748   35.216  1.000  1.000  0.000   Pacific       
   28.090  39.920   58.174   37.812  1.000  1.000  0.000   Pacific       
   27.910  40.090   57.778   37.397  1.000  1.000  0.000   Pacific       
   27.860  38.480   60.735   25.696  0.497  1.000  0.000   Pacific       
   27.780  41.830   75.609   41.388  1.497  2.000  0.000   Pacific       
   27.780  38.060   59.505   28.289  1.000  1.000  0.000   Pacific       
   27.710  40.030   57.163   36.483  1.000  1.000  0.000   Pacific       
   27.670  38.680   59.911   28.880  0.497  1.000  0.000   Pacific       
   27.450  38.570   56.246   28.658  1.000  1.000  0.000   Pacific       
   27.160  38.600   56.680   28.137  1.000  1.000  0.000   Pacific       
   27.130  38.490   56.903   26.236  1.000  1.000  0.000   Pacific       
   27.080  38.020   60.751   22.830  2.000  2.000  0.000   Pacific       
   26.790  38.740   57.549   24.002  1.000  1.000  0.000   Pacific       
   26.720  38.430   59.095   22.601  1.000  1.000  0.000   Pacific       
   29.890  40.070   59.615   37.624  1.000  1.198  0.000   Pacific       
   29.420  40.820   69.865   45.097  1.102  1.000  0.000   Pacific       
   29.290  40.480   64.125   43.987  1.000  1.198  0.000   Pacific       
   28.940  40.300   63.793   44.966  1.899  2.198  0.000   Pacific       
   28.880  40.480   60.540   51.066  1.000  1.102  0.000   Pacific       
   28.410  39.990   61.234   37.834  1.000  1.198  0.000   Pacific       
   27.840  40.390   62.270   39.290  1.198  1.198  0.000   Pacific       
   26.730  39.650   56.893   35.101  1.803  2.000  0.000   Pacific       
   26.320  40.260   55.340   32.362  1.198  1.300  0.000   Pacific       
   26.170  40.690   76.321   37.547  1.000  1.198  0.000   Pacific       
   76.690  32.700  101.124   42.088  2.880  2.160  0.080   Pacific       
   77.180  32.630   96.708   35.968  2.599  1.918 -0.050   Pacific       
   75.990  32.540  102.147   47.611  2.918  1.879 -0.040   Pacific       
   80.100  32.510  102.567   32.239  3.459  2.663 -0.020   Pacific       
   75.670  32.490  109.360   48.841  3.077  1.918 -0.020   Pacific       
   77.190  32.320  102.146   34.840  2.402  1.637  0.010   Pacific       
   76.310  32.250  104.493   47.656  1.083  0.720 -0.050   Pacific       
   76.820  31.630  100.734   44.364  2.841  1.758 -0.030   Pacific       
   76.310  31.540  102.998   47.445  2.440  1.523 -0.020   Pacific       
   75.940  31.480  104.256   47.698  2.523  1.682 -0.030   Pacific       
