time,latitude,longitude,lon360,depth,depth_km,mag,horizontalError,depthError,magError
2025-03-04T09:58:00.241Z,-21.2395,-178.5688,181.4312,561.229,-561.229,4.3,14.48,7.516,0.087
2025-03-19T08:13:25.102Z,-24.4012,179.8213,179.8213,522.588,-522.588,4.8,13.29,7.456,0.092
2025-11-04T04:25:17.232Z,-15.8351,-176.8657,183.1343,412.919,-412.919,4.3,13.33,7.339,0.087
2025-04-12T01:40:10.230Z,-18.5638,-177.9295,182.0705,575.392,-575.392,4.2,9.51,7.166,0.088
2025-02-25T17:21:24.891Z,-16.9247,-177.2693,182.7307,395.407,-395.407,4.3,13.06,5.903,0.087
2025-02-09T09:58:43.243Z,-15.5625,167.6902,167.6902,122.128,-122.128,4.6,9.16,5.039,0.093
2025-10-09T20:08:45.389Z,-15.3106,167.5238,167.5238,144.522,-144.522,4.8,11.86,3.508,0.091
2025-01-28T06:52:38.866Z,-28.0098,-176.486,183.514,13,-13,5.8,10.04,1.796,0.051
2025-03-11T14:13:57.931Z,-23.8629,-179.4688,180.5312,541.405,-541.405,4.4,15.29,14.457,0.094
2024-11-30T13:16:37.771Z,-24.1983,179.6743,179.6743,528.088,-528.088,4.4,14.88,11.126,0.089
2025-09-03T09:39:52.125Z,-19.989,-177.8639,182.1361,430.41,-430.41,4.4,16.46,10.15,0.089
2025-04-23T00:28:58.371Z,-17.45,-175.1916,184.8084,268.543,-268.543,4.5,14.91,9.317,0.09
2025-06-24T06:59:42.516Z,-19.7029,-177.3837,182.6163,375.794,-375.794,4,7.54,8.915,0.086
2025-05-04T18:53:13.825Z,-15.3104,-174.8866,185.1134,245.574,-245.574,4.4,6.35,8.88,0.09
2025-04-30T23:33:42.283Z,-18.4132,-177.219,182.781,362.363,-362.363,4.3,13.97,8.732,0.089
2025-01-07T16:03:10.822Z,-19.7927,-178.0426,181.9574,574.802,-574.802,4.2,13.89,8.472,0.093
2025-08-23T05:35:47.320Z,-23.5503,-179.7992,180.2008,549.106,-549.106,4.4,13.18,8.384,0.089
2025-05-15T01:41:07.796Z,-20.7394,-177.7569,182.2431,477.638,-477.638,4.4,14.41,8.027,0.09
2025-01-09T10:33:05.301Z,-18.1532,-178.4808,181.5192,597.982,-597.982,4.1,14.58,7.872,0.087
2025-08-22T11:51:02.839Z,-26.6561,-178.3552,181.6448,287.32,-287.32,4.4,13.41,7.295,0.089
2024-11-02T17:18:04.294Z,-18.4284,-177.5162,182.4838,546.987,-546.987,4.5,10.5,6.766,0.094
2024-12-17T03:37:43.306Z,-17.8564,167.9486,167.9486,47.879,-47.879,5,9.72,5.635,0.094
2025-08-14T14:07:29.601Z,-24.2265,179.8845,179.8845,524.107,-524.107,4.4,19.08,17.069,0.091
2025-06-10T12:01:55.693Z,-23.2611,-179.8775,180.1225,556.261,-556.261,4.4,14.35,10.439,0.091
2024-12-06T22:05:46.177Z,-23.302,-179.7814,180.2186,573.365,-573.365,4.5,8.78,10.324,0.092
2025-11-09T14:29:25.244Z,-18.5939,-177.7726,182.2274,630.701,-630.701,4.4,12.69,10.149,0.09
2024-10-15T08:05:04.809Z,-24.2038,-179.6859,180.3141,525.202,-525.202,4.5,12.42,9.751,0.092
2025-01-06T15:16:08.006Z,-23.4498,-179.7427,180.2573,539.314,-539.314,4.5,13.75,9.613,0.092
2024-11-25T15:13:23.372Z,-22.0612,-176.0954,183.9046,78.885,-78.885,4.9,13.09,9.378,0.094
2025-08-02T09:42:43.752Z,-17.8259,-178.7257,181.2743,591.26,-591.26,4.3,13.76,9.118,0.09
2025-11-02T08:40:43.665Z,-23.9222,-176.2425,183.7575,66.826,-66.826,4.9,14.74,7.799,0.095
2025-01-01T04:03:10.355Z,-16.4926,-177.3691,182.6309,424.19,-424.19,4.3,13.54,7.401,0.09
2025-04-18T19:01:21.844Z,-18.4452,-177.792,182.208,565.238,-565.238,4.2,13.45,7.297,0.093
2024-10-23T19:20:54.336Z,-17.8318,-174.9004,185.0996,230.38,-230.38,4.9,10.61,6.623,0.095
2025-09-04T02:41:16.151Z,-20.4466,-177.8582,182.1418,549.724,-549.724,4.4,12.02,5.757,0.09
2025-02-07T10:27:01.952Z,-23.9351,-176.2264,183.7736,65,-65,5.9,2.52,1.852,0.052
2024-11-01T18:56:31.458Z,-24.322,-179.7145,180.2855,524.803,-524.803,4.4,16.63,13.496,0.096
2025-09-22T21:54:57.005Z,-21.4352,-178.4982,181.5018,474.219,-474.219,4.4,16.06,11.385,0.092
2025-03-16T16:10:29.244Z,-20.4178,-177.6858,182.3142,515.647,-515.647,4.5,16.53,10.344,0.093
2025-04-24T18:47:19.675Z,-25.1484,179.8255,179.8255,516.398,-516.398,4.3,15.25,10.21,0.092
2025-10-11T01:54:03.266Z,-24.3492,179.7803,179.7803,526.061,-526.061,4.4,15.18,10.172,0.092
2024-12-11T03:27:58.826Z,-23.5748,-179.7244,180.2756,531,-531,4.5,15.73,9.728,0.093
2025-03-25T09:12:13.295Z,-17.8136,-177.8527,182.1473,580.769,-580.769,4.5,14.51,9.703,0.093
2024-11-21T09:45:47.640Z,-16.3031,-176.3279,183.6721,373.882,-373.882,4.5,10.72,9.681,0.093
2025-04-30T08:41:50.610Z,-21.2267,-178.7955,181.2045,559.123,-559.123,4.4,13.92,9.661,0.1
2024-12-24T14:12:06.803Z,-17.7408,168.035,168.035,37.139,-37.139,4.7,10.82,9.211,0.096
2025-06-06T17:05:46.061Z,-16.9336,-178.345,181.655,455.142,-455.142,4,14.53,8.544,0.095
2025-07-11T09:43:17.559Z,-23.9748,179.9515,179.9515,514.354,-514.354,4.4,13.29,8.284,0.092
2025-06-03T06:47:54.231Z,-19.3975,-175.6266,184.3734,249.435,-249.435,4.4,11.52,8.16,0.092
2025-05-20T23:39:06.551Z,-24.4861,179.958,179.958,519.129,-519.129,4.4,15.75,8.107,0.092
2024-11-30T02:22:58.331Z,-19.6057,169.1769,169.1769,129.778,-129.778,4.4,11.82,8.062,0.098
2025-07-24T16:58:22.949Z,-16.2377,-174.0399,185.9601,73.612,-73.612,4.6,10.98,7.834,0.093
2025-01-16T12:02:14.744Z,-24.3337,-176.5757,183.4243,97.85,-97.85,4.9,11.99,7.767,0.096
2025-10-25T21:32:04.279Z,-25.9286,-178.7886,181.2114,351.602,-351.602,4.4,13.29,7.664,0.095
2024-10-29T18:13:31.284Z,-14.87,167.1767,167.1767,97.173,-97.173,4.6,12.59,7.618,0.093
2025-07-01T05:12:37.793Z,-23.5733,-179.8765,180.1235,515.761,-515.761,4.3,11.97,7.182,0.091
2025-05-30T21:30:37.086Z,-21.1217,-175.7362,184.2638,138.594,-138.594,4.5,15.49,7.162,0.1
2025-03-25T06:23:14.240Z,-25.3485,-179.8964,180.1036,475.72,-475.72,4.3,12.5,5.475,0.091
2025-09-12T06:05:22.763Z,-16.3302,167.2356,167.2356,19.584,-19.584,4.9,9.87,5.202,0.096
2024-10-17T05:37:32.887Z,-27.8826,-176.2657,183.7343,12,-12,5.6,10.67,1.865,0.053
2025-07-18T02:26:03.745Z,-24.5576,-179.7019,180.2981,479.142,-479.142,4.5,15.06,13.417,0.095
2025-11-26T20:41:13.525Z,-17.9244,-178.371,181.629,565.297,-565.297,4.6,15.3,13.078,0.095
2025-10-27T21:32:46.084Z,-21.0419,175.4969,175.4969,600.764,-600.764,4.4,14.83,10.137,0.094
2025-02-16T14:29:16.904Z,-18.2099,-177.9631,182.0369,526.283,-526.283,4.6,14.21,9.992,0.095
2025-06-01T07:00:33.097Z,-17.9796,-178.1142,181.8858,625.955,-625.955,4.3,15.82,9.578,0.093
2024-12-23T15:37:05.998Z,-14.3931,170.5132,170.5132,642.98,-642.98,4.6,12.72,9.517,0.095
2025-06-15T04:19:18.071Z,-19.4993,-177.0775,182.9225,338.454,-338.454,4.3,15.59,9.475,0.101
2025-04-24T06:51:31.343Z,-22.5659,-178.1984,181.8016,370.27,-370.27,4.3,15.47,9.263,0.093
2024-10-16T16:13:09.685Z,-23.6586,-179.9895,180.0105,533.451,-533.451,4.4,13.07,9.093,0.093
2025-10-13T16:40:21.814Z,-19.1257,-174.6439,185.3561,88.347,-88.347,4.6,12.61,9.068,0.095
2024-10-14T12:26:05.793Z,-24.1872,179.4987,179.4987,534.742,-534.742,4.4,11.98,8.9,0.093
2025-01-24T19:40:47.282Z,-18.637,-177.8561,182.1439,566.613,-566.613,4.1,13.89,8.876,0.099
2024-12-05T02:29:23.866Z,-19.8225,-178.332,181.668,608.784,-608.784,4.3,12.65,8.803,0.093
2024-10-19T17:01:28.776Z,-24.6675,-177.2426,182.7574,171.587,-171.587,4.2,14.82,8.362,0.1
2024-10-21T06:09:38.610Z,-17.9123,-178.5673,181.4327,563.06,-563.06,4.5,12.98,8.006,0.094
2025-05-02T01:54:50.930Z,-16.5716,-178.5245,181.4755,467.417,-467.417,4.2,17.29,7.592,0.092
2025-06-08T22:48:59.038Z,-21.1486,-177.9563,182.0437,433.446,-433.446,4.3,11.22,6.878,0.092
2025-03-26T21:32:48.240Z,-15.9034,-176.3246,183.6754,383.169,-383.169,4.2,11.17,6.698,0.092
2025-08-11T10:31:45.045Z,-17.667,-178.5919,181.4081,546.446,-546.446,4.4,9.84,6.331,0.093
2025-05-27T20:56:56.141Z,-19.7726,-177.4102,182.5898,360.864,-360.864,4.4,9.49,6.105,0.093
2024-11-06T15:55:08.907Z,-18.1047,-177.8948,182.1052,435.632,-435.632,5.9,9.93,5.625,0.054
2025-04-25T13:26:22.740Z,-15.794,168.4221,168.4221,258.831,-258.831,4.3,9.25,5.516,0.093
2025-06-28T04:17:08.545Z,-19.8818,-176.0335,183.9665,229,-229,5.5,9.93,1.886,0.054
2025-01-15T20:04:39.004Z,-22.4471,-179.1167,180.8833,492.851,-492.851,4.6,12.04,14.034,0.096
2025-11-22T06:24:35.403Z,-12.7558,169.7496,169.7496,660.76,-660.76,4.3,13.68,12.985,0.094
2025-10-09T14:52:15.637Z,-20.746,-178.7006,181.2994,600.135,-600.135,4.5,16.05,11.052,0.096
2024-12-02T16:06:16.806Z,-23.6638,-179.6851,180.3149,533.789,-533.789,4.6,13.79,10.535,0.096
2025-01-05T05:15:47.211Z,-20.9185,-178.6637,181.3363,546.314,-546.314,4.7,13.28,10.378,0.097
2025-04-26T22:33:28.253Z,-21.65,-176.5373,183.4627,233.589,-233.589,4.3,15.97,9.676,0.094
2025-09-02T19:42:19.522Z,-17.9249,-178.2088,181.7912,539.334,-539.334,4.4,18.65,9.332,0.095
2025-03-26T00:44:20.392Z,-24.1447,-179.9762,180.0238,487.8,-487.8,4.5,12.41,9.278,0.096
2025-11-01T23:27:43.259Z,-22.3336,-179.5994,180.4006,575.055,-575.055,4.4,13.51,9.238,0.095
2025-04-11T16:18:13.726Z,-20.5826,-178.4466,181.5534,575.305,-575.305,4.3,14.89,9.143,0.094
2025-08-31T15:38:50.859Z,-20.3027,-177.7037,182.2963,508.462,-508.462,4.4,13.01,9.064,0.095
2025-11-09T02:46:19.327Z,-20.5545,-178.3716,181.6284,549.854,-549.854,4.5,14.19,8.994,0.095
2025-09-01T05:54:40.512Z,-17.1634,-174.6802,185.3198,214.117,-214.117,4.3,10.09,8.27,0.094
2025-04-16T19:57:41.829Z,-26.0289,179.957,179.957,483.588,-483.588,4.2,12.86,7.686,0.093
2025-07-15T05:10:52.064Z,-16.8565,-173.4989,186.5011,39.87,-39.87,4.3,5.1,7.514,0.094
2025-06-18T19:20:34.163Z,-19.2929,-174.5261,185.4739,60.89,-60.89,4.6,11.72,7.134,0.097
2025-10-13T08:59:21.202Z,-21.0279,169.7037,169.7037,116.658,-116.658,4.5,10.08,6.978,0.096
2025-02-16T03:37:35.820Z,-17.9284,-178.074,181.926,596.557,-596.557,4.3,13.42,6.922,0.101
2024-12-17T09:59:56.282Z,-17.6661,168.1187,168.1187,58.427,-58.427,4.8,9.09,6.823,0.098
2025-03-11T05:21:27.480Z,-13.0573,166.8908,166.8908,205.456,-205.456,4.4,12.64,6.322,0.094
2024-12-02T01:59:55.760Z,-14.6716,167.2152,167.2152,165.246,-165.246,4.4,10.26,5.842,0.095
2025-05-13T22:07:45.130Z,-17.746,-178.6377,181.3623,548.026,-548.026,4.4,13.05,3.339,0.095
2025-05-20T13:06:36.748Z,-24.3467,-179.8166,180.1834,509.324,-509.324,4.2,15.95,11.829,0.098
2025-04-12T13:53:00.198Z,-17.87,-178.4842,181.5158,603.091,-603.091,4.3,14.61,11.097,0.095
2025-09-27T18:01:40.677Z,-24.2017,179.9504,179.9504,495.051,-495.051,4.3,14.53,10.424,0.096
2025-01-03T13:51:39.377Z,-19.9345,-177.6805,182.3195,425.431,-425.431,4.2,14.4,10.129,0.095
2025-04-04T08:19:46.996Z,-17.5512,-178.5882,181.4118,545.46,-545.46,4.3,14.55,9.921,0.096
2025-01-28T12:24:16.956Z,-24.0941,179.9755,179.9755,525.863,-525.863,4.3,13.9,9.815,0.096
2025-07-30T04:46:21.890Z,-24.8259,179.6191,179.6191,511.254,-511.254,4.5,14.83,9.573,0.097
2024-11-26T12:35:20.718Z,-19.0253,169.3358,169.3358,206.502,-206.502,4.4,11.75,9.459,0.096
2024-10-31T02:56:41.357Z,-22.979,-179.8929,180.1071,568.504,-568.504,4.5,12.14,8.94,0.097
2024-11-23T19:27:11.911Z,-19.7694,-177.7456,182.2544,550.696,-550.696,4.1,13.98,8.736,0.094
2025-01-18T20:32:35.264Z,-19.7051,-175.1026,184.8974,68.739,-68.739,4.6,15.01,8.651,0.102
2025-02-18T00:27:26.985Z,-17.8854,-177.6316,182.3684,416.782,-416.782,4.5,13.03,8.606,0.097
2025-10-07T15:42:19.576Z,-21.7005,-179.0911,180.9089,580.532,-580.532,4.2,18.61,8.59,0.102
2025-09-12T08:58:01.154Z,-21.7192,170.8455,170.8455,184.629,-184.629,4.6,8.72,8.537,0.098
2025-06-27T00:07:00.116Z,-20.5523,-178.8698,181.1302,622.042,-622.042,4.1,15.97,8.268,0.095
2025-09-05T19:28:27.677Z,-23.4533,-179.9944,180.0056,536.206,-536.206,4.5,13.89,8.151,0.098
2025-06-28T05:17:21.317Z,-15.0945,-174.1901,185.8099,87.858,-87.858,4.8,14.4,7.941,0.099
2025-06-21T09:44:32.452Z,-24.2812,179.795,179.795,527.083,-527.083,4.2,14.96,7.833,0.095
2025-01-26T05:57:24.552Z,-15.6329,-174.5584,185.4416,170.546,-170.546,4.5,12.3,7.636,0.097
2025-05-04T11:40:17.651Z,-15.9915,-176.1434,183.8566,376.732,-376.732,4.2,11.54,7.632,0.096
2025-10-11T02:39:03.668Z,-23.6168,179.4271,179.4271,568.898,-568.898,4.5,12.27,7.538,0.097
2025-10-24T08:25:26.396Z,-16.2988,-173.3391,186.6609,37.712,-37.712,4.2,10.52,7.504,0.095
2025-07-01T11:51:44.510Z,-17.585,-178.7705,181.2295,562.712,-562.712,4.6,13.98,7.453,0.098
